Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	HiCUP_mqc-generalstats-hicup-Percentage_Ditags_Passed_Through_HiCUP	HiCUP_mqc-generalstats-hicup-Deduplication_Read_Pairs_Uniques	HiCUP_mqc-generalstats-hicup-Percentage_Uniques	HiCUP_mqc-generalstats-hicup-Valid_Pairs	HiCUP_mqc-generalstats-hicup-Percentage_Valid	HiCUP_mqc-generalstats-hicup-Paired_Read_1	HiCUP_mqc-generalstats-hicup-Percentage_Mapped
PCa13266_L001_R1	21.56271900702407	42.0	151.0	0.0	279423107.0							
PCa13266_L001_R2	18.28303241529221	42.0	151.0	0.0	279423107.0							
PCa13266_L002_R1	22.794395182300136	42.0	151.0	0.0	278224433.0							
PCa13266_L002_R2	22.61343012128107	42.0	151.0	0.0	278224433.0							
PCa13266_L003_R1	19.485637956150683	42.0	151.0	0.0	271333169.0							
PCa13266_L003_R2	19.073241193324165	42.0	151.0	0.0	271333169.0							
PCa13266_L004_R1	19.06213537757398	42.0	151.0	0.0	275271816.0							
PCa13266_L004_R2	14.716887005478227	42.0	151.0	0.0	275271816.0							
PCa13848_L001_R1	22.01102186267508	42.0	151.0	9.090909090909092	158178447.0							
PCa13848_L001_R2	19.954513429799192	42.0	151.0	9.090909090909092	158178447.0							
PCa13848_L002_R1	23.55037560385267	42.0	151.0	9.090909090909092	159390243.0							
PCa13848_L002_R2	23.37286334127718	42.0	151.0	9.090909090909092	159390243.0							
PCa13848_L003_R1	20.462195659183067	42.0	151.0	9.090909090909092	154295042.0							
PCa13848_L003_R2	20.235813512294314	42.0	151.0	9.090909090909092	154295042.0							
PCa13848_L004_R1	19.886897098839114	42.0	151.0	9.090909090909092	156690770.0							
PCa13848_L004_R2	16.843932006106527	42.0	151.0	9.090909090909092	156690770.0							
PCa14121_L001_R1	19.709011241305717	42.0	151.0	0.0	251548476.0							
PCa14121_L001_R2	18.068136586290734	42.0	151.0	0.0	251548476.0							
PCa14121_L002_R1	20.899301035828472	42.0	151.0	0.0	249815947.0							
PCa14121_L002_R2	21.08664969468697	42.0	151.0	0.0	249815947.0							
PCa14121_L003_R1	17.637572929552363	42.0	151.0	0.0	243451429.0							
PCa14121_L003_R2	18.304632666122487	42.0	151.0	0.0	243451429.0							
PCa14121_L004_R1	17.214851047191118	42.0	151.0	0.0	247261998.0							
PCa14121_L004_R2	14.556128327726185	42.0	151.0	0.0	247261998.0							
PCa19121_L001_R1	17.635413783937352	42.0	151.0	0.0	182506221.0							
PCa19121_L001_R2	16.39591621796758	42.0	151.0	0.0	182506221.0							
PCa19121_L002_R1	19.011112560618457	42.0	151.0	0.0	182753562.0							
PCa19121_L002_R2	19.046571548394823	42.0	151.0	0.0	182753562.0							
PCa19121_L003_R1	16.83320680164333	42.0	151.0	0.0	178161839.0							
PCa19121_L003_R2	16.986757741182274	42.0	151.0	0.0	178161839.0							
PCa19121_L004_R1	16.196673031197577	42.0	151.0	0.0	180669809.0							
PCa19121_L004_R2	13.774842105013263	42.0	151.0	0.0	180669809.0							
PCa3023_L001_R1	18.04424427114239	42.0	151.0	0.0	182309600.0							
PCa3023_L001_R2	16.29618750274919	42.0	151.0	0.0	182309600.0							
PCa3023_L002_R1	19.08419887403427	42.0	151.0	0.0	182753824.0							
PCa3023_L002_R2	19.058207607413934	42.0	151.0	0.0	182753824.0							
PCa3023_L003_R1	16.570473501840368	42.0	151.0	0.0	177564383.0							
PCa3023_L003_R2	16.434423501546178	42.0	151.0	0.0	177564383.0							
PCa3023_L004_R1	16.233491657725267	42.0	151.0	0.0	180089422.0							
PCa3023_L004_R2	13.420937741419635	42.0	151.0	0.0	180089422.0							
PCa33173_L001_R1	20.099754974351683	42.0	151.0	0.0	252426433.0							
PCa33173_L001_R2	18.030166516041362	42.0	151.0	0.0	252426433.0							
PCa33173_L002_R1	21.669669671799554	42.0	151.0	0.0	252116377.0							
PCa33173_L002_R2	21.705283868927523	42.0	151.0	0.0	252116377.0							
PCa33173_L003_R1	18.332928336279195	42.0	151.0	0.0	245383314.0							
PCa33173_L003_R2	18.401253507859266	42.0	151.0	0.0	245383314.0							
PCa33173_L004_R1	17.945449797718283	42.0	151.0	0.0	249167286.0							
PCa33173_L004_R2	14.380582952482555	42.0	151.0	0.0	249167286.0							
PCa40507_L001_R1	21.24239610290131	42.0	151.0	0.0	233192800.0							
PCa40507_L001_R2	19.180945349739304	42.0	151.0	0.0	233192800.0							
PCa40507_L002_R1	23.039170883007458	42.0	151.0	0.0	232100454.0							
PCa40507_L002_R2	22.96562816821438	42.0	151.0	0.0	232100454.0							
PCa40507_L003_R1	20.069315223788166	42.0	151.0	0.0	227870165.0							
PCa40507_L003_R2	19.853681729335023	42.0	151.0	0.0	227870165.0							
PCa40507_L004_R1	19.35067648211634	42.0	151.0	0.0	230136422.0							
PCa40507_L004_R2	15.928137278697804	42.0	151.0	0.0	230136422.0							
PCa51852_L001_R1	20.346111145491392	42.0	151.0	0.0	306541467.0							
PCa51852_L001_R2	17.835020923590122	42.0	151.0	0.0	306541467.0							
PCa51852_L002_R1	21.8783798973664	42.0	151.0	0.0	304985916.0							
PCa51852_L002_R2	21.77018784235598	42.0	151.0	0.0	304985916.0							
PCa51852_L003_R1	18.50534081682973	42.0	151.0	0.0	297383540.0							
PCa51852_L003_R2	18.401348633027595	42.0	151.0	0.0	297383540.0							
PCa51852_L004_R1	17.932439058560206	42.0	151.0	0.0	301747082.0							
PCa51852_L004_R2	13.979211453542035	42.0	151.0	0.0	301747082.0							
PCa53687_L001_R1	17.823699905316943	41.0	151.0	0.0	209168623.0							
PCa53687_L001_R2	16.460422379258404	41.0	151.0	0.0	209168623.0							
PCa53687_L002_R1	19.160077622097404	41.0	151.0	0.0	209370921.0							
PCa53687_L002_R2	19.506033366830422	41.0	151.0	0.0	209370921.0							
PCa53687_L003_R1	16.34178447126976	41.0	151.0	0.0	203575824.0							
PCa53687_L003_R2	16.843812258757552	41.0	151.0	0.0	203575824.0							
PCa53687_L004_R1	16.069723110739645	41.0	151.0	0.0	206608650.0							
PCa53687_L004_R2	13.585871160950632	41.0	151.0	0.0	206608650.0							
PCa56413_L001_R1	20.45372495075469	42.0	151.0	0.0	204660098.0							
PCa56413_L001_R2	18.796081584602376	42.0	151.0	0.0	204660098.0							
PCa56413_L002_R1	21.946065575541766	42.0	151.0	0.0	203601984.0							
PCa56413_L002_R2	22.05441503635336	42.0	151.0	0.0	203601984.0							
PCa56413_L003_R1	18.976110316194536	42.0	151.0	0.0	199074065.0							
PCa56413_L003_R2	19.316267070025432	42.0	151.0	0.0	199074065.0							
PCa56413_L004_R1	18.649204966212977	42.0	151.0	0.0	201755044.0							
PCa56413_L004_R2	15.861001581015998	42.0	151.0	0.0	201755044.0							
PCa57054_L001_R1	26.96474606500459	42.0	151.0	0.0	309750829.0							
PCa57054_L001_R2	23.715449970116424	42.0	151.0	0.0	309750829.0							
PCa57054_L002_R1	28.324798424414737	42.0	151.0	0.0	307198354.0							
